"Statistic","Month","Age Group","Sex","Lower and Upper Bound","UNIT","VALUE"
"Number of persons out of work","2020M03","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","32694"
"Number of persons out of work","2020M03","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","123596"
"Number of persons out of work","2020M03","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","18555"
"Number of persons out of work","2020M03","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","59542"
"Number of persons out of work","2020M03","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","14139"
"Number of persons out of work","2020M03","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","64054"
"Number of persons out of work","2020M03","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","115390"
"Number of persons out of work","2020M03","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","509560"
"Number of persons out of work","2020M03","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","64045"
"Number of persons out of work","2020M03","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","259380"
"Number of persons out of work","2020M03","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","51345"
"Number of persons out of work","2020M03","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","250180"
"Number of persons out of work","2020M03","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","82696"
"Number of persons out of work","2020M03","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","385964"
"Number of persons out of work","2020M03","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","45490"
"Number of persons out of work","2020M03","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","199838"
"Number of persons out of work","2020M03","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","37206"
"Number of persons out of work","2020M03","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","186126"
"Number of persons out of work","2020M04","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","34387"
"Number of persons out of work","2020M04","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","157308"
"Number of persons out of work","2020M04","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","16141"
"Number of persons out of work","2020M04","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","79814"
"Number of persons out of work","2020M04","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","18246"
"Number of persons out of work","2020M04","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","77494"
"Number of persons out of work","2020M04","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","107439"
"Number of persons out of work","2020M04","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","712981"
"Number of persons out of work","2020M04","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","60630"
"Number of persons out of work","2020M04","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","406592"
"Number of persons out of work","2020M04","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","46809"
"Number of persons out of work","2020M04","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","306389"
"Number of persons out of work","2020M04","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","73052"
"Number of persons out of work","2020M04","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","555673"
"Number of persons out of work","2020M04","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","44489"
"Number of persons out of work","2020M04","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","326778"
"Number of persons out of work","2020M04","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","28563"
"Number of persons out of work","2020M04","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","228895"
"Number of persons out of work","2020M05","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","40086"
"Number of persons out of work","2020M05","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","155426"
"Number of persons out of work","2020M05","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","17020"
"Number of persons out of work","2020M05","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","75007"
"Number of persons out of work","2020M05","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","23066"
"Number of persons out of work","2020M05","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","80419"
"Number of persons out of work","2020M05","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","116797"
"Number of persons out of work","2020M05","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","661467"
"Number of persons out of work","2020M05","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","63984"
"Number of persons out of work","2020M05","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","361071"
"Number of persons out of work","2020M05","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","52813"
"Number of persons out of work","2020M05","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","300396"
"Number of persons out of work","2020M05","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","76711"
"Number of persons out of work","2020M05","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","506041"
"Number of persons out of work","2020M05","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","46964"
"Number of persons out of work","2020M05","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","286064"
"Number of persons out of work","2020M05","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","29747"
"Number of persons out of work","2020M05","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","219977"
"Number of persons out of work","2020M06","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","50316"
"Number of persons out of work","2020M06","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","146529"
"Number of persons out of work","2020M06","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","22340"
"Number of persons out of work","2020M06","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","68632"
"Number of persons out of work","2020M06","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","27976"
"Number of persons out of work","2020M06","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","77897"
"Number of persons out of work","2020M06","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","138996"
"Number of persons out of work","2020M06","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","578749"
"Number of persons out of work","2020M06","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","73189"
"Number of persons out of work","2020M06","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","298736"
"Number of persons out of work","2020M06","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","65807"
"Number of persons out of work","2020M06","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","280013"
"Number of persons out of work","2020M06","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","88680"
"Number of persons out of work","2020M06","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","432220"
"Number of persons out of work","2020M06","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","50849"
"Number of persons out of work","2020M06","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","230104"
"Number of persons out of work","2020M06","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","37831"
"Number of persons out of work","2020M06","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","202116"
"Number of persons out of work","2020M07","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","63109"
"Number of persons out of work","2020M07","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","119869"
"Number of persons out of work","2020M07","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","32323"
"Number of persons out of work","2020M07","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","61630"
"Number of persons out of work","2020M07","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","30786"
"Number of persons out of work","2020M07","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","58239"
"Number of persons out of work","2020M07","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","177323"
"Number of persons out of work","2020M07","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","453230"
"Number of persons out of work","2020M07","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","88764"
"Number of persons out of work","2020M07","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","235642"
"Number of persons out of work","2020M07","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","88559"
"Number of persons out of work","2020M07","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","217588"
"Number of persons out of work","2020M07","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","114214"
"Number of persons out of work","2020M07","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","333361"
"Number of persons out of work","2020M07","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","56441"
"Number of persons out of work","2020M07","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","174012"
"Number of persons out of work","2020M07","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","57773"
"Number of persons out of work","2020M07","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","159349"
"Number of persons out of work","2020M08","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","65240"
"Number of persons out of work","2020M08","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","112017"
"Number of persons out of work","2020M08","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","35399"
"Number of persons out of work","2020M08","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","59543"
"Number of persons out of work","2020M08","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","29841"
"Number of persons out of work","2020M08","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","52474"
"Number of persons out of work","2020M08","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","188017"
"Number of persons out of work","2020M08","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","414779"
"Number of persons out of work","2020M08","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","95284"
"Number of persons out of work","2020M08","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","213938"
"Number of persons out of work","2020M08","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","92733"
"Number of persons out of work","2020M08","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","200841"
"Number of persons out of work","2020M08","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","122777"
"Number of persons out of work","2020M08","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","302762"
"Number of persons out of work","2020M08","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","59885"
"Number of persons out of work","2020M08","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","154395"
"Number of persons out of work","2020M08","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","62892"
"Number of persons out of work","2020M08","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","148367"
"Number of persons out of work","2020M09","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","56751"
"Number of persons out of work","2020M09","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","104252"
"Number of persons out of work","2020M09","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","31324"
"Number of persons out of work","2020M09","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","56168"
"Number of persons out of work","2020M09","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","25427"
"Number of persons out of work","2020M09","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","48084"
"Number of persons out of work","2020M09","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","172277"
"Number of persons out of work","2020M09","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","389296"
"Number of persons out of work","2020M09","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","91101"
"Number of persons out of work","2020M09","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","208845"
"Number of persons out of work","2020M09","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","81176"
"Number of persons out of work","2020M09","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","180451"
"Number of persons out of work","2020M09","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","115526"
"Number of persons out of work","2020M09","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","285044"
"Number of persons out of work","2020M09","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","59777"
"Number of persons out of work","2020M09","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","152677"
"Number of persons out of work","2020M09","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","55749"
"Number of persons out of work","2020M09","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","132367"
"Number of persons out of work","2020M10","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","40404"
"Number of persons out of work","2020M10","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","127813"
"Number of persons out of work","2020M10","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","21001"
"Number of persons out of work","2020M10","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","61356"
"Number of persons out of work","2020M10","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","19403"
"Number of persons out of work","2020M10","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","66457"
"Number of persons out of work","2020M10","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","143780"
"Number of persons out of work","2020M10","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","489078"
"Number of persons out of work","2020M10","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","78844"
"Number of persons out of work","2020M10","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","249876"
"Number of persons out of work","2020M10","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","64936"
"Number of persons out of work","2020M10","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","239202"
"Number of persons out of work","2020M10","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","103376"
"Number of persons out of work","2020M10","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","361265"
"Number of persons out of work","2020M10","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","57843"
"Number of persons out of work","2020M10","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","188520"
"Number of persons out of work","2020M10","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","45533"
"Number of persons out of work","2020M10","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","172745"
"Number of persons out of work","2020M11","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","35397"
"Number of persons out of work","2020M11","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","125323"
"Number of persons out of work","2020M11","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","17119"
"Number of persons out of work","2020M11","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","58897"
"Number of persons out of work","2020M11","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","18278"
"Number of persons out of work","2020M11","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","66426"
"Number of persons out of work","2020M11","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","137161"
"Number of persons out of work","2020M11","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","490822"
"Number of persons out of work","2020M11","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","76716"
"Number of persons out of work","2020M11","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","252662"
"Number of persons out of work","2020M11","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","60445"
"Number of persons out of work","2020M11","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","238160"
"Number of persons out of work","2020M11","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","101764"
"Number of persons out of work","2020M11","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","365499"
"Number of persons out of work","2020M11","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","59597"
"Number of persons out of work","2020M11","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","193765"
"Number of persons out of work","2020M11","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","42167"
"Number of persons out of work","2020M11","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","171734"
"Number of persons out of work","2020M12","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","34226"
"Number of persons out of work","2020M12","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","128074"
"Number of persons out of work","2020M12","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","15947"
"Number of persons out of work","2020M12","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","60962"
"Number of persons out of work","2020M12","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","18279"
"Number of persons out of work","2020M12","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","67112"
"Number of persons out of work","2020M12","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","144205"
"Number of persons out of work","2020M12","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","519048"
"Number of persons out of work","2020M12","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","80726"
"Number of persons out of work","2020M12","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","275039"
"Number of persons out of work","2020M12","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","63479"
"Number of persons out of work","2020M12","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","244009"
"Number of persons out of work","2020M12","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","109979"
"Number of persons out of work","2020M12","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","390974"
"Number of persons out of work","2020M12","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","64779"
"Number of persons out of work","2020M12","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","214077"
"Number of persons out of work","2020M12","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","45200"
"Number of persons out of work","2020M12","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","176897"
"Number of persons out of work","2021M01","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","37499"
"Number of persons out of work","2021M01","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","153012"
