"Statistic","Month","Age Group","Sex","Lower and Upper Bound","UNIT","VALUE"
"Monthly Unemployment Rate","2020M07","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","16"
"Monthly Unemployment Rate","2020M07","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","4.9"
"Monthly Unemployment Rate","2020M07","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","15.3"
"Monthly Unemployment Rate","2020M07","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.1"
"Monthly Unemployment Rate","2020M07","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","16.9"
"Monthly Unemployment Rate","2020M08","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","21.4"
"Monthly Unemployment Rate","2020M08","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","36.8"
"Monthly Unemployment Rate","2020M08","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","22.8"
"Monthly Unemployment Rate","2020M08","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","38.4"
"Monthly Unemployment Rate","2020M08","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","20"
"Monthly Unemployment Rate","2020M08","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","35.2"
"Monthly Unemployment Rate","2020M08","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","7.7"
"Monthly Unemployment Rate","2020M08","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","17.1"
"Monthly Unemployment Rate","2020M08","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.2"
"Monthly Unemployment Rate","2020M08","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","16.3"
"Monthly Unemployment Rate","2020M08","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","8.3"
"Monthly Unemployment Rate","2020M08","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","18"
"Monthly Unemployment Rate","2020M08","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","5.8"
"Monthly Unemployment Rate","2020M08","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","14.2"
"Monthly Unemployment Rate","2020M08","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","5.2"
"Monthly Unemployment Rate","2020M08","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","13.3"
"Monthly Unemployment Rate","2020M08","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.5"
"Monthly Unemployment Rate","2020M08","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","15.3"
"Monthly Unemployment Rate","2020M09","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","19.1"
"Monthly Unemployment Rate","2020M09","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","35"
"Monthly Unemployment Rate","2020M09","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","20.5"
"Monthly Unemployment Rate","2020M09","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","36.8"
"Monthly Unemployment Rate","2020M09","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","17.5"
"Monthly Unemployment Rate","2020M09","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","33.1"
"Monthly Unemployment Rate","2020M09","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","7.1"
"Monthly Unemployment Rate","2020M09","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","15.9"
"Monthly Unemployment Rate","2020M09","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.9"
"Monthly Unemployment Rate","2020M09","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","15.8"
"Monthly Unemployment Rate","2020M09","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","7.2"
"Monthly Unemployment Rate","2020M09","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","16.1"
"Monthly Unemployment Rate","2020M09","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","5.4"
"Monthly Unemployment Rate","2020M09","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","13.3"
"Monthly Unemployment Rate","2020M09","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","5.1"
"Monthly Unemployment Rate","2020M09","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","13.1"
"Monthly Unemployment Rate","2020M09","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","5.7"
"Monthly Unemployment Rate","2020M09","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","13.6"
"Monthly Unemployment Rate","2020M10","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","15"
"Monthly Unemployment Rate","2020M10","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","47.5"
"Monthly Unemployment Rate","2020M10","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","15.2"
"Monthly Unemployment Rate","2020M10","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","44.4"
"Monthly Unemployment Rate","2020M10","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","14.8"
"Monthly Unemployment Rate","2020M10","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","50.8"
"Monthly Unemployment Rate","2020M10","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6"
"Monthly Unemployment Rate","2020M10","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","20.3"
"Monthly Unemployment Rate","2020M10","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","6"
"Monthly Unemployment Rate","2020M10","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","19.1"
"Monthly Unemployment Rate","2020M10","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","5.9"
"Monthly Unemployment Rate","2020M10","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","21.6"
"Monthly Unemployment Rate","2020M10","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","4.8"
"Monthly Unemployment Rate","2020M10","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","16.8"
"Monthly Unemployment Rate","2020M10","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","4.9"
"Monthly Unemployment Rate","2020M10","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","16.1"
"Monthly Unemployment Rate","2020M10","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","4.7"
"Monthly Unemployment Rate","2020M10","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","17.7"
"Monthly Unemployment Rate","2020M11","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","13.9"
"Monthly Unemployment Rate","2020M11","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","49.1"
"Monthly Unemployment Rate","2020M11","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","13"
"Monthly Unemployment Rate","2020M11","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","44.8"
"Monthly Unemployment Rate","2020M11","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","14.7"
"Monthly Unemployment Rate","2020M11","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","53.6"
"Monthly Unemployment Rate","2020M11","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","5.7"
"Monthly Unemployment Rate","2020M11","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","20.4"
"Monthly Unemployment Rate","2020M11","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","5.9"
"Monthly Unemployment Rate","2020M11","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","19.4"
"Monthly Unemployment Rate","2020M11","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","5.5"
"Monthly Unemployment Rate","2020M11","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","21.6"
"Monthly Unemployment Rate","2020M11","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","4.7"
"Monthly Unemployment Rate","2020M11","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","17"
"Monthly Unemployment Rate","2020M11","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","5.1"
"Monthly Unemployment Rate","2020M11","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","16.6"
"Monthly Unemployment Rate","2020M11","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","4.3"
"Monthly Unemployment Rate","2020M11","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","17.5"
"Monthly Unemployment Rate","2020M12","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","13.7"
"Monthly Unemployment Rate","2020M12","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","51.2"
"Monthly Unemployment Rate","2020M12","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","12.3"
"Monthly Unemployment Rate","2020M12","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","47.1"
"Monthly Unemployment Rate","2020M12","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","15.2"
"Monthly Unemployment Rate","2020M12","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","55.6"
"Monthly Unemployment Rate","2020M12","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6"
"Monthly Unemployment Rate","2020M12","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","21.7"
"Monthly Unemployment Rate","2020M12","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.2"
"Monthly Unemployment Rate","2020M12","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","21.3"
"Monthly Unemployment Rate","2020M12","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","5.8"
"Monthly Unemployment Rate","2020M12","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","22.1"
"Monthly Unemployment Rate","2020M12","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","5.1"
"Monthly Unemployment Rate","2020M12","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","18.2"
"Monthly Unemployment Rate","2020M12","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","5.6"
"Monthly Unemployment Rate","2020M12","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","18.4"
"Monthly Unemployment Rate","2020M12","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","4.6"
"Monthly Unemployment Rate","2020M12","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","18"
"Monthly Unemployment Rate","2021M01","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","14.8"
"Monthly Unemployment Rate","2021M01","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","60.4"
"Monthly Unemployment Rate","2021M01","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","13.4"
"Monthly Unemployment Rate","2021M01","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","57.5"
"Monthly Unemployment Rate","2021M01","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","16.3"
"Monthly Unemployment Rate","2021M01","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","63.7"
"Monthly Unemployment Rate","2021M01","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.7"
"Monthly Unemployment Rate","2021M01","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","27"
"Monthly Unemployment Rate","2021M01","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.9"
"Monthly Unemployment Rate","2021M01","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","27.8"
"Monthly Unemployment Rate","2021M01","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.5"
"Monthly Unemployment Rate","2021M01","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","26.1"
"Monthly Unemployment Rate","2021M01","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","5.7"
"Monthly Unemployment Rate","2021M01","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","23"
"Monthly Unemployment Rate","2021M01","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.2"
"Monthly Unemployment Rate","2021M01","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","24.4"
"Monthly Unemployment Rate","2021M01","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","5.2"
"Monthly Unemployment Rate","2021M01","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","21.4"
"Monthly Unemployment Rate","2021M02","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","15.9"
"Monthly Unemployment Rate","2021M02","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","59.5"
"Monthly Unemployment Rate","2021M02","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","14.3"
"Monthly Unemployment Rate","2021M02","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","56"
"Monthly Unemployment Rate","2021M02","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","17.5"
"Monthly Unemployment Rate","2021M02","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","63.2"
"Monthly Unemployment Rate","2021M02","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","7.3"
"Monthly Unemployment Rate","2021M02","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","27"
"Monthly Unemployment Rate","2021M02","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.4"
"Monthly Unemployment Rate","2021M02","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","27.6"
"Monthly Unemployment Rate","2021M02","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","7.1"
"Monthly Unemployment Rate","2021M02","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","26.3"
"Monthly Unemployment Rate","2021M02","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.2"
"Monthly Unemployment Rate","2021M02","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","23.1"
"Monthly Unemployment Rate","2021M02","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.6"
"Monthly Unemployment Rate","2021M02","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","24.3"
"Monthly Unemployment Rate","2021M02","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","5.8"
"Monthly Unemployment Rate","2021M02","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","21.7"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","16.2"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","57.1"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","14.6"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","53.3"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","17.9"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","61.2"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","7.4"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","25.7"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.5"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","26"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","7.3"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","25.3"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.4"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","21.9"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.7"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","22.8"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","20.8"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","19"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","62"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","16.5"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","56.1"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","21.7"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","68.5"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","7.9"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","24.8"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.8"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","24.2"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","7.9"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","25.5"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.7"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","20.8"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.9"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","20.9"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.4"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","20.7"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","20.1"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","58.8"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","17.3"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","54"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","23"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","64"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","8"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","21.9"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.9"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","21.6"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","8.1"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","22.3"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.8"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","18.1"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","7"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","18.4"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.5"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","17.8"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","19.9"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","44.2"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","17"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","41.6"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","23"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","47"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","8.1"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","18.3"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.8"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","18"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","8.4"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","18.5"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.8"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","15.5"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.9"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","15.7"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.7"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","15.2"
